구,동,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도
용산구,이태원동,준아트빌,227.84,202209,13,290000,10,2008
용산구,효창동,세양청마루,84.18,202209,17,99000,15,2006
용산구,문배동,용산큐브,13.01,202209,18,19000,14,2013
용산구,도원동,도원,34.8,202209,28,12000,1,1983
용산구,한남동,시범,59.5,202210,7,120000,5,1970
용산구,이촌동,이촌동삼성리버스위트,137.37,202210,9,320000,6,2002
용산구,한남동,한성1,48.69,202210,11,53000,1,1974
용산구,후암동,후암미주,63.44,202210,22,107000,2,1980
용산구,한강로1가,용산파크자이,99.85,202210,31,160000,6,2005
용산구,보광동,주미,79.21,202211,5,149150,7,1973
용산구,한남동,장미1,74.38,202211,17,176000,3,1976
용산구,이촌동,이촌코오롱(A),114.69,202211,18,200000,6,1999
용산구,문배동,프라임펠리스,13.69,202211,19,16500,14,2012
용산구,보광동,주미,69.39,202211,29,143000,9,1973
용산구,산천동,한강타운,59.69,202212,10,90000,12,2001
용산구,이촌동,강촌,114.595,202212,30,215000,15,1998
은평구,응암동,백련산파크자이,59.905,202201,4,88000,9,2021
은평구,수색동,DMC롯데캐슬더퍼스트,59.96,202201,6,103000,7,2021
은평구,응암동,백련산파크자이,59.905,202201,8,87000,3,2021
은평구,대조동,정익제이원6차,29.95,202201,9,36500,14,2017
은평구,수색동,DMC롯데캐슬더퍼스트,114.95,202201,11,155000,6,2021
은평구,응암동,백련산파크자이,59.905,202201,13,90000,17,2021
은평구,불광동,북한산힐스테이트1차아파트,84.734,202201,15,110000,5,2009
은평구,불광동,연신내역트리플라101동,36.61,202201,17,63000,12,2021
은평구,대조동,대경아르체아파트,29.99,202201,18,42000,9,2021
은평구,대조동,대경아르체아파트,29.99,202201,18,42000,7,2021
은평구,녹번동,힐스테이트녹번,84.9,202201,22,129500,19,2019
은평구,응암동,백련산에스케이뷰아이파크,59.8545,202201,22,90000,18,2020
은평구,불광동,라이프미성,84.65,202201,24,94500,15,1988
은평구,수색동,e편한세상 수색 에코포레,59.895,202201,26,70500,1,2003
은평구,구산동,세영아파트,53.91,202201,26,35900,8,2016
은평구,수색동,DMC롯데캐슬더퍼스트,59.96,202201,27,100000,9,2021
은평구,대조동,영화노블레스아파트,24.41,202201,27,27750,12,2019
은평구,녹번동,힐스테이트녹번,84.898,202201,27,139500,11,2019
은평구,진관동,은평스카이뷰자이,84.7488,202201,29,122000,18,2019
은평구,대조동,대경아르체아파트,29.99,202202,4,41000,15,2021
은평구,응암동,백련산에스케이뷰아이파크,59.9335,202202,7,90000,11,2020
은평구,응암동,백련산에스케이뷰아이파크,84.9039,202202,10,109500,5,2020
은평구,불광동,불광롯데캐슬,114.99,202202,11,132000,16,2018
은평구,구산동,은평서해그랑블,59.21,202202,11,75000,13,2022
은평구,역촌동,역촌센트레빌,84.89,202202,11,85000,9,2011
은평구,응암동,백련산힐스테이트4차,84.98,202202,15,110000,2,2018
은평구,진관동,은평뉴타운솔하임,45.044,202202,18,60000,19,2017
은평구,신사동,미성,83.27,202202,18,65000,2,1987
은평구,응암동,미소세상,29.99,202202,19,28000,4,2017
은평구,대조동,대경아르체아파트,25.28,202202,21,32000,11,2021
은평구,수색동,DMC롯데캐슬더퍼스트,39.83,202202,23,60000,7,2021
은평구,수색동,DMC롯데캐슬더퍼스트,84.93,202202,28,100000,19,2021
은평구,대조동,미래하임,31.8,202202,28,31700,9,2012
은평구,응암동,미소세상,29.99,202203,3,28200,2,2017
은평구,대조동,북한산포레스트,19.08,202203,3,27500,7,2021
은평구,구산동,갈현현대,59.94,202203,4,50000,2,1998
은평구,대조동,대경아르체아파트,29.99,202203,10,42000,10,2021
은평구,대조동,주주베에이,13.56,202203,12,15500,5,2014
은평구,응암동,거장메카(116-22),24.77,202203,12,45800,7,2021
은평구,대조동,대경아르체아파트,25.28,202203,15,32000,10,2021
은평구,응암동,녹번역e편한세상캐슬,84.94,202203,15,128000,15,2021
은평구,신사동,신사성원,59.94,202203,17,59800,3,2000
은평구,대조동,정익제이원아파트(15-114),25.68,202203,18,25600,9,2015
은평구,응암동,백련산힐스테이트3차,59.63,202203,19,84500,2,2011
은평구,응암동,백련산힐스테이트4차,84.98,202203,19,105000,14,2018
은평구,응암동,백련산힐스테이트3차,84.59,202203,19,99500,12,2011
은평구,진관동,은평뉴타운 제각말 푸르지오(5-2단지),84.89,202203,23,110000,7,2010
은평구,응암동,백련산파크자이,55.885,202203,23,80000,5,2021
은평구,응암동,청안파인,30.83,202203,26,21500,10,2012
은평구,대조동,정익제이원아파트(15-114),25.68,202203,29,25900,13,2015
은평구,진관동,상림마을7단지아이파크(702~705동)BL1-4,84.79,202204,2,86000,7,2008
은평구,응암동,서강스카이빌3(116-24),84.98,202204,3,77500,12,2006
은평구,불광동,대호프라자아파트,84.64,202204,5,69700,5,2000
은평구,갈현동,유호루하스,28.26,202204,6,22000,9,2018
은평구,불광동,라이프미성,84.65,202204,7,97000,7,1988
은평구,진관동,은평뉴타운 제각말 푸르지오(5-3단지),101.97,202204,8,147000,6,2010
은평구,진관동,상림마을7단지아이파크(713~718동)BL1-11,84.79,202204,10,88000,2,2008
은평구,응암동,서강스카이빌2,156.39,202204,11,79000,2,2003
은평구,진관동,우물골2단지두산위브(209~222동)BL2-8,84.51,202204,15,78000,1,2009
은평구,구산동,천지로얄,80.25,202204,16,45500,3,2005
은평구,진관동,우물골2단지두산위브(204~208동)BL2-5,84.51,202204,16,95000,1,2009
은평구,불광동,라이프미성,66.7,202204,18,82000,1,1988
은평구,응암동,녹번역e편한세상캐슬,59.96,202204,19,101000,2,2021
은평구,응암동,백련산힐스테이트2차,59.63,202204,21,85000,2,2011
은평구,대조동,대경아르체아파트,29.99,202204,23,42000,13,2021
은평구,역촌동,명남뉴아파트,84.94,202204,27,54000,4,2004
은평구,대조동,제이타워1,12.23,202204,28,12000,9,2012
은평구,응암동,백련산에스케이뷰아이파크,84.9039,202204,29,120000,17,2020
은평구,녹번동,대림아파트(276),133.87,202204,30,118500,19,1993
은평구,응암동,거장메카(116-22),24.77,202204,30,36200,10,2021
은평구,불광동,대호프라자아파트,59.97,202205,6,61000,7,2000
은평구,진관동,상림마을8단지롯데캐슬(810~820동)BL1-1,101.93,202205,13,107000,9,2008
은평구,역촌동,하늘애,84.96,202205,13,81000,7,2007
은평구,증산동,베로니스,54.84,202205,13,72300,4,2019
은평구,역촌동,위산엘리시움,38.69,202205,14,37000,7,2018
은평구,갈현동,한솔,39.96,202205,14,27000,4,1997
은평구,수색동,DMC롯데캐슬더퍼스트,84.93,202205,14,125000,15,2021
은평구,불광동,라이프미성,66.7,202205,18,87000,9,1988
은평구,신사동,이랜드타운아파트,84.9287,202205,19,70000,20,2004
은평구,녹번동,청록MS(91-9),84.61,202205,21,58000,5,2004
은평구,갈현동,지캐슬,41.73,202205,22,27700,6,2003
은평구,응암동,신동아,52.71,202205,22,45000,1,1990
은평구,수색동,DMC롯데캐슬더퍼스트,84.97,202205,23,120000,2,2021
은평구,대조동,대경아르체아파트,29.99,202205,25,45000,2,2021
은평구,응암동,녹번역센트레빌,59.92,202205,28,85700,12,2013
은평구,응암동,거장메카(116-22),24.77,202205,28,36200,8,2021
은평구,역촌동,만민라이프(B동),84.23,202205,28,49000,2,2004
은평구,응암동,백련산파크자이,59.789,202205,28,88700,6,2021
은평구,응암동,유성아이비,47.64,202205,30,40400,9,2011
은평구,역촌동,청우참조은,50.31,202205,30,25100,2,2003
은평구,진관동,은평스카이뷰자이,84.7488,202206,2,125000,10,2019
은평구,역촌동,미랜드,79.16,202206,2,76000,4,2006
은평구,응암동,위산일리온시티,19.28,202206,4,23000,12,2020
은평구,대조동,대경아르체아파트,29.99,202206,7,41000,3,2021
은평구,증산동,디오반,14.46,202206,9,12200,6,2011
은평구,증산동,디오반,14.46,202206,13,12100,6,2011
은평구,갈현동,한솔,84.93,202206,15,64100,2,1997
은평구,응암동,녹번역센트레빌,84.9,202206,17,96500,17,2013
은평구,불광동,효민아크로뷰,15.09,202206,25,24000,19,2021
은평구,진관동,마고정3단지센트레빌(310~322동)BL2-3,167.14,202206,26,120000,3,2009
은평구,구산동,경향파크,84.75,202207,2,47200,13,1989
은평구,녹번동,힐스테이트녹번,59.938,202207,7,94500,3,2019
은평구,불광동,효민아크로뷰,15.09,202207,7,23000,17,2021
은평구,역촌동,역촌월드,57.69,202207,9,33800,3,2003
은평구,구산동,엔에스아파트,56.52,202207,12,22500,5,2003
은평구,진관동,우물골2단지두산위브(245~255동)BL2-6,84.54,202207,14,93000,8,2009
은평구,응암동,녹번역e편한세상캐슬,84.98,202207,15,126000,10,2021
은평구,갈현동,동광갈현베르빌,134.715,202207,16,95000,3,2004
은평구,대조동,제이타워4,12.16,202207,22,9550,8,2013
은평구,불광동,선우아파트,70.82,202207,26,46000,3,2002
은평구,불광동,북한산현대힐스테이트3차아파트,84.97,202207,30,90000,11,2010
은평구,진관동,상림마을6단지푸르지오(606~614동)BL1-7,101.97,202208,3,88000,2,2008
은평구,응암동,청안파인,30.34,202208,9,23000,5,2012
은평구,불광동,제이타워,15.05,202208,11,12700,6,2013
은평구,증산동,디오반,14.46,202208,17,13000,6,2011
은평구,진관동,은평뉴타운솔하임,14.235,202208,19,16500,16,2017
은평구,신사동,라이프씨티,83.04,202208,24,50000,8,1992
은평구,역촌동,거성리젠시,75.21,202208,27,49500,2,2004
은평구,대조동,대경아르체아파트,29.99,202208,29,42000,6,2021
은평구,역촌동,엔에스,56.54,202208,29,24000,9,2001
은평구,진관동,은평뉴타운 제각말 푸르지오(5-4단지),84.89,202209,1,86000,5,2010
은평구,불광동,북한산래미안아파트(1단지),84.9885,202209,3,86000,10,2010
은평구,녹번동,래미안베라힐즈,84.98,202209,8,119000,5,2019
은평구,응암동,펠리시티,55.68,202209,10,67000,13,2022
은평구,응암동,경향렉스빌,84.781,202209,14,67500,7,2004
은평구,응암동,백련산파크자이,59.905,202209,15,79500,9,2021
은평구,역촌동,센타폴리스,84.97,202209,17,68000,3,2004
은평구,역촌동,리더스파크,82.45,202209,20,79000,13,2006
은평구,응암동,녹번역e편한세상캐슬,84.98,202209,21,120000,17,2021
은평구,진관동,우물골2단지두산위브(209~222동)BL2-8,84.51,202209,22,86000,6,2009
은평구,응암동,거장메카(116-22),24.77,202209,25,36200,8,2021
은평구,진관동,은평뉴타운 제각말 푸르지오(5-1단지),101.83,202209,26,105000,8,2010
은평구,불광동,경인에버빌(285-18),29.47,202210,1,29000,9,2018
은평구,진관동,상림마을6단지푸르지오(606~614동)BL1-7,84.79,202210,6,70000,5,2008
은평구,불광동,북한산현대힐스테이트3차아파트,115.41,202210,7,100000,1,2010
은평구,응암동,녹번역e편한세상캐슬,84.94,202210,10,110000,8,2021
은평구,수색동,진흥엣세벨,106.423,202210,11,95000,3,2003
은평구,불광동,효민아크로뷰,15.09,202210,11,24000,20,2021
은평구,응암동,응암아네스트,13.6793,202210,12,12600,16,2014
은평구,대조동,삼성타운,59.4,202210,14,56500,16,1997
은평구,응암동,위산일리온시티,19.28,202210,23,23800,14,2020
은평구,응암동,거장메카(116-22),29.75,202210,23,37200,10,2021
은평구,수색동,DMC롯데캐슬더퍼스트,39.83,202211,4,50000,1,2021
은평구,신사동,신아,57.06,202211,7,34900,7,2008
은평구,진관동,상림마을6단지푸르지오(601~605동)BL1-8,101.93,202211,10,77000,5,2008
은평구,응암동,백련산해모로,59.92,202211,15,75000,4,2020
은평구,갈현동,유호루하스,16.768,202211,18,12000,7,2018
은평구,진관동,구파발9단지래미안(916~928동)BL3-2,134.83,202211,19,110000,4,2010
은평구,응암동,프라임팰리스,71.16,202211,29,50000,14,2003
은평구,응암동,녹번역e편한세상캐슬,59.96,202211,30,82750,6,2021
은평구,갈현동,역촌맨션,53.2,202211,30,29200,4,1973
은평구,갈현동,역촌맨션,53.2,202211,30,29200,2,1973
은평구,갈현동,역촌맨션,65.78,202211,30,36300,2,1973
은평구,수색동,e편한세상 수색 에코포레,59.895,202211,30,50000,1,2003
은평구,진관동,은평스카이뷰자이,84.3363,202212,2,94000,22,2019
은평구,역촌동,미랜드,84.98,202212,2,65000,3,2006
은평구,응암동,백련산에스케이뷰아이파크,59.8545,202212,7,83800,5,2020
은평구,증산동,디오반,14.46,202212,9,11800,7,2011
은평구,녹번동,북한산푸르지오,84.99,202212,17,89700,7,2015
은평구,응암동,서강스카이빌2,156.39,202212,17,80000,13,2003
은평구,신사동,성현,48.78,202212,21,23000,7,2002
은평구,불광동,북한산힐스테이트7차,84.947,202212,23,107000,5,2011
종로구,무악동,인왕산아이파크,84.858,202201,2,139900,16,2008
종로구,숭인동,종로센트레빌,84.92,202201,8,109000,11,2008
종로구,연건동,이화에수풀,16.98,202201,8,19000,11,2014
종로구,행촌동,대성아파트,19.27,202201,12,26000,7,1971
종로구,숭인동,삼전솔하임2차,15,202201,25,10200,7,2012
종로구,효제동,포레스트힐시티,18.7352,202202,7,19000,7,2017
종로구,숭인동,종로유케이201,12.01,202202,23,9500,10,2013
종로구,평창동,롯데낙천대,110.53,202203,3,120000,3,2001
종로구,평창동,벽산블루밍평창힐스,152.06,202203,17,155000,4,2004
종로구,평창동,삼성,84.93,202203,22,78000,1,1998
종로구,교북동,경희궁자이(4단지),37.2635,202203,26,91000,7,2017
종로구,무악동,인왕산아이파크,114.931,202204,2,164000,16,2008
